"group","biomass","prop_biomass","Relative_total_impact","Keystone_index_1","Keystone_index_2","Keystone_index_3"
"AmLobster",0.0818827295457938,0.000659883325795078,-0.0697194783177672,-1.56422927154977,1.61659025216674,0.108155264670558
"RiverHerring",0.10557118527299,0.000850785815672015,-0.179111747400587,-1.10902218123273,1.96152722690087,0.524815923200187
"AtlCroaker",0.678526818097045,0.00546816814547715,-0.332814418304112,-0.899434308438754,1.36510514286843,0.403976999133774
"AtlMackerel",0.3253308359323,0.00262180309803469,-0.0965868747339753,-1.15844917068409,1.42409088687694,0.305088957084941
"AtlScallop",0.286514038841717,0.0023089830772204,0.0437068066269934,-1.0576460470539,1.57993714110098,0.448507869359831
"Bacteria",7.157778,0.0576836944511148,-1.21399540756016,-0.606121568524159,0.658628657658858,0.118651729731751
"BaleenWhales",0.16,0.00128942125785102,-0.200161945325949,-0.654554176954153,2.23561134705896,0.948066164252152
"BlackSeaBass",0.128363685158036,0.00103446790236792,-0.0268591801142872,-1.37161323084153,1.61411924554139,0.252085555792897
"Bluefish",0.979021126418248,0.00788981657680589,-1.55621873571347,-0.251801151393278,1.85457203436692,0.955758923830872
"Butterfish",2.11855582685612,0.0170731932443277,-0.51612476595937,-0.394103795328921,1.38106026924338,0.613375025196638
"Cod",0.0419021657203996,0.000337684645186748,-0.0661294788800086,-1.07110149130759,2.40053387469934,0.619241268066029
"Fourspot",0.278610425019405,0.0022452887792433,-0.226825864406801,-0.889551211195354,1.76015279568974,0.642903918724494
"GelZooplankton",0.4683606,0.00377446321237412,-0.690336337614424,-0.441779517292742,1.98300761576537,0.957802821335063
"Goosefish",0.467392465847787,0.00376666113264715,-0.530091525135753,-0.61693514778272,1.8087472302543,0.799677128919163
"HMS",0.032,0.000257884251570204,-0.0287032258738309,-1.73668422614179,1.85200296448013,-0.0376022096546387
"Illex",0.284943324215037,0.00229632487203503,-0.532036053013442,-0.801963928088299,1.83800117014419,0.717548439806955
"LgCopepods",3.66550144651612,0.0295398467863848,0.769935712950215,-0.188204749866603,1.35440930359976,0.669915582051008
"LittleSkate",0.604087743841781,0.00486827236573034,-0.254469197741449,-0.92709935408722,1.38764520515226,0.417442753729863
"Loligo",1.80124109212671,0.0145159909668936,-1.26265721761018,-0.172815955901882,1.6716877732366,0.912715708557198
"Macrobenthos",45,0.3626497287706,3.32678152018892,-0.049853783211057,0.586280684841639,0.14576804182629
"Megabenthos",7.933486,0.0639350343578967,-0.0471536336529779,-0.102776465087327,1.12017864092593,0.403038798542968
"Mesopelagics",0.0983644970816838,0.000792707959718424,-0.0305989277138009,-1.70446310490567,1.39676808126973,-0.0606660232023959
"Micronekton",3.5656191,0.0287349066558727,0.420966390029721,-0.174967970768999,1.37928445780018,0.740784235476896
"Microzooplankton",4.72086,0.0380448577458661,-0.506109238491741,-0.513490471252499,0.923058743629539,0.28150595857537
"OceanPout",0.132588545363737,0.00106851555587217,-0.010814712081767,-1.42707121873399,1.54461223059806,0.186176936494781
"Odontocetes",0.092475345,0.00074524797293817,-0.555706273716839,-0.351074965695249,2.77694800861673,1.31200664373097
"OtherCephalopods",0.0925906247383222,0.000746176998845621,-0.0437100709742329,-1.18150959061797,1.94597273325943,0.472027104673935
"OtherDemersals",1.52413741262391,0.0122828448732708,-1.21918226719607,-0.216260465198642,1.69980797099929,0.965198196996227
"OtherPelagics",0.368723877604275,0.00297150253787631,-1.08316275834571,-0.329601921256738,2.19871440156484,1.11884853842009
"OtherShrimps",0.613877023497471,0.00494716302377469,0.885954790661677,-0.452024971609392,1.8557726642411,0.872348180873304
"OtherSkates",0.788130185667017,0.00635144884595703,-0.389721281188236,-0.758433074616332,1.44146131708789,0.474783043133193
"Phytoplankton",20.0455,0.161544336401579,5.05737756209495,-0.0754477795706073,0.792780381136438,0.302102113448985
"RedHake",0.39773803484441,0.0032053242324017,-0.16375175803156,-1.14410046963357,1.3514218539243,0.288657584924332
"Scup",1.5656372236444,0.0126172869890622,-0.481641371642807,-0.785666532842155,1.11888196628316,0.365975983466526
"SeaBirds",0.002948594,2.37623736523249e-05,-0.105454119503472,-1.25608811033251,3.36803238897927,0.451492385755793
"Sharks",0.2106240255,0.0016973943493366,-2.40098871603047,0.167338480202435,2.93829352347699,1.73627799961107
"SilverHake",0.712633519724868,0.00574303005869025,-0.89819956281747,-0.512375473594264,1.73098479288584,0.768879483198219
"SmCopepods",7.24221250267991,0.058364142217687,0.665794562605366,-0.16925999885957,1.09071090587633,0.458917004251028
"SmFlatfishes",0.0453382433524187,0.000365375592326447,-0.0113068188151202,-1.65802406697201,1.77939511020768,0.0233758800032226
"SmoothDogfish",0.57761396930823,0.00465492331786087,-0.256405354936364,-0.908880041512718,1.42523375476946,0.45487412188225
"SmPelagics",2.20976494063403,0.0178082368081714,0.93108255805718,-0.202800881051253,1.55438190906034,0.759245340636202
"SouthernDemersals",0.728677709081321,0.00587232830132274,-0.32453883623398,-0.546695137037442,1.68705237287102,0.711135205445556
"SpinyDogfish",1.92635190773536,0.015524244374599,-1.58060583922158,-0.237304821234784,1.57847968283276,0.810882838551137
"SummerFlounder",0.270059581268355,0.00217637853108602,-0.442069542779317,-0.65888685803958,2.004324928035,0.886127405536781
"Weakfish",0.318037287639142,0.00256302524669494,-0.514896396244122,-0.707016135977078,1.88534551649037,0.771219655367865
"Windowpane",0.206397879186707,0.00166333633124192,-0.118555258539628,-1.23637475398804,1.54336815159419,0.344131821864618
"WinterFlounder",0.196904047351505,0.0015868266525746,-0.0816040673074114,-1.39100238621522,1.40915782486612,0.200751918230191
"WinterSkate",0.313857831450611,0.00252934349884651,-0.118122681336763,-1.34552275374622,1.25256930479767,0.146938811575959
"YTFlounder",0.220397679661336,0.00177615908335229,-0.251359682719487,-1.0354830129003,1.71580718786736,0.521591549811441
"Krill",0.52435575,0.0042257215670401,0.345500366062935,-0.6992859882232,1.6766522298533,0.682764349543446
"AtlMenhaden",1.775190819,0.0143060548672535,0.105773375989753,-0.412103430024709,1.438634594835,0.708097833480038
